cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_13033_+	Success	0.414594096877295	2	0.660608369292286	0.819629956501002	MMP23B
chr1:clu_13034_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AL031282.1
chr1:clu_13035_+	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_13036_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_13037_+	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_13038_+	Success	0.449211859168088	2	0.638130890492135	0.803175131587784	MMP23A
chr1:clu_13039_+	Not enough valid samples	NA	NA	NA	NA	PRKCZ
chr1:clu_13040_+	Success	15.7349786101868	4	2.45476983746557e-06	5.31623038530882e-05	SKI
chr1:clu_13041_+	Success	0.863106741918273	1	0.188895193900263	0.385024569380471	SKI
chr1:clu_13042_+	Success	17.9534768456724	13	0.000613398935526411	0.00598194870447662	RER1
chr1:clu_13043_+	Success	3.69538787740748	2	0.0248378177654749	0.100385075171906	RER1
chr1:clu_13044_+	Success	0.116168020505029	1	0.629797073269583	0.797316230147074	RER1
chr1:clu_13045_+	Not enough valid samples	NA	NA	NA	NA	TNFRSF14
chr1:clu_13046_+	Success	0.343727624381017	1	0.407031295968015	0.618043770252013	TNFRSF14
chr1:clu_13047_+	Success	0.830041842136097	1	0.197592025356366	0.395801418521252	TNFRSF14
chr1:clu_13048_+	Success	3.79830013088031	6	0.269171345973923	0.479734450030289	TNFRSF14
chr1:clu_13049_+	Success	0.980347575165069	2	0.375180672702022	0.587541444060752	PRXL2B
chr1:clu_13050_+	Success	0.02881406043889	1	0.810284845301155	0.918414703470751	PRXL2B
chr1:clu_13051_+	Success	0.262503799707474	1	0.468713364299232	0.671738705164579	PRXL2B
chr1:clu_13052_+	Success	2.55015812128431	1	0.0239214818055418	0.0976987281044259	PRXL2B
chr1:clu_13053_+	Not enough valid samples	NA	NA	NA	NA	PRDM16
chr1:clu_13054_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRDM16
chr1:clu_13055_+	Not enough valid samples	NA	NA	NA	NA	PRDM16
chr1:clu_13056_+	Not enough valid samples	NA	NA	NA	NA	ARHGEF16
chr1:clu_13057_+	Success	-10.2529595515953	5	1	1	TPRG1L
chr1:clu_13058_+	Not enough valid samples	NA	NA	NA	NA	DFFB
chr1:clu_13059_+	Not enough valid samples	NA	NA	NA	NA	DFFB
chr1:clu_13060_+	Success	6.54863515220586	5	0.0224840927533111	0.0935482147372741	DFFB
chr1:clu_13061_+	Not enough valid samples	NA	NA	NA	NA	LINC01134
chr1:clu_13062_+	Success	4.32596754682743	2	0.0132207522094054	0.0630053934627904	KCNAB2
chr1:clu_13063_+	Success	0.540497154110653	2	0.582458608689586	0.762993872462167	KCNAB2
chr1:clu_13064_+	Not enough valid samples	NA	NA	NA	NA	RNF207
chr1:clu_13065_+	Not enough valid samples	NA	NA	NA	NA	RNF207
chr1:clu_13066_+	Not enough valid samples	NA	NA	NA	NA	RNF207
chr1:clu_13067_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RNF207
chr1:clu_13068_+	Not enough valid samples	NA	NA	NA	NA	RNF207
chr1:clu_13069_+	Success	9.9448600644846	9	0.0186053122482408	0.0814351563881333	ZBTB48
chr1:clu_13070_+	Success	1.87757867322114	2	0.152960023931804	0.337031791119783	ZBTB48
chr1:clu_13071_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZBTB48
chr1:clu_13072_+	Success	0.524697871277681	1	0.305646293815034	0.517481560491311	ZBTB48
chr1:clu_13073_+	Success	6.68102266236838	2	0.00125449439213336	0.0105664421851645	PHF13
chr1:clu_13074_+	Not enough valid samples	NA	NA	NA	NA	THAP3
chr1:clu_13075_+	Success	6.0361241272085	3	0.00713972207771332	0.0401367820913561	THAP3
chr1:clu_13076_+	Success	4.09311280998463	3	0.0423157573857493	0.1451221326791	THAP3
chr1:clu_13077_+	Success	11.4392725763464	13	0.0431571100829253	0.146795669951354	CAMTA1
chr1:clu_13078_+	Success	0.984178207450896	2	0.373746242645233	0.586260350308605	VAMP3
chr1:clu_13079_+	Not enough valid samples	NA	NA	NA	NA	PER3
chr1:clu_13080_+	Success	5.04226541211301	4	0.0390275917489713	0.137259546704161	PER3
chr1:clu_13081_+	Success	0.516679436887898	1	0.309371068386075	0.521260702858973	PER3
chr1:clu_13082_+	Success	3.06734478426324	2	0.0465445768217861	0.154618483622232	PER3
chr1:clu_13083_+	Success	0.938542691242219	1	0.170665783113714	0.361518392082969	PER3
chr1:clu_13084_+	Success	0.190892659525161	1	0.536649309216306	0.726766987544739	PER3
chr1:clu_13085_+	Success	0.394420826473663	1	0.374450614157883	0.586943726330691	PER3
chr1:clu_13086_+	Success	2.46219445829047	3	0.177418226925284	0.37029080155677	PARK7
chr1:clu_13087_+	Success	14.3373601587955	4	9.10152599810314e-06	0.000168186315483146	PARK7
chr1:clu_13088_+	Success	1.49353265262107	1	0.0839321506091188	0.229229653477961	PARK7
chr1:clu_13089_+	Not enough valid samples	NA	NA	NA	NA	SLC45A1
chr1:clu_13090_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RERE-AS1
chr1:clu_13091_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	LNCTAM34A
chr1:clu_13092_+	Success	1.39980883653061	6	0.833543933754522	0.932779520326263	LNCTAM34A
chr1:clu_13093_+	Success	1.53772965604639	9	0.961227888735259	1	H6PD
chr1:clu_13094_+	Success	0.638489191831354	1	0.25846161056128	0.467629638581748	H6PD
chr1:clu_13095_+	Success	0.441002803885112	1	0.347652947490983	0.559938309737868	H6PD
chr1:clu_13096_+	Success	4.47020753955039	1	0.00278929329672036	0.0196738973940891	H6PD
chr1:clu_13097_+	Success	0.125921610743944	1	0.615780188600137	0.786808376318311	SPSB1
chr1:clu_13098_+	Success	0.0372615891898249	1	0.784861411851266	0.902356479796077	SLC25A33
chr1:clu_13099_+	Success	9.5405253514632	2	7.18790759587606e-05	0.00100577252961193	SLC25A33
chr1:clu_13100_+	Success	22.0275508486084	4	6.24890563729909e-09	2.4923160177093e-07	SLC25A33
chr1:clu_13101_+	Not enough valid samples	NA	NA	NA	NA	TMEM201
chr1:clu_13102_+	Not enough valid samples	NA	NA	NA	NA	PIK3CD
chr1:clu_13103_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PIK3CD
chr1:clu_13104_+	Not enough valid samples	NA	NA	NA	NA	PIK3CD
chr1:clu_13105_+	Not enough valid samples	NA	NA	NA	NA	PIK3CD
chr1:clu_13106_+	Success	1.75528017101988	3	0.319395060489915	0.531610458939063	AL357140.2,NMNAT1
chr1:clu_13107_+	Success	0.692956037390104	2	0.50009558071943	0.697410715560036	NMNAT1
chr1:clu_13108_+	Success	1.29834247897452	3	0.458071012988871	0.663511184733733	NMNAT1
chr1:clu_13109_+	Success	2.54855588300779	5	0.404143962325963	0.61523667061301	UBE4B
chr1:clu_13110_+	Success	2.64702511074904	2	0.0708617055353933	0.205610792358547	UBE4B
chr1:clu_13111_+	Success	1.13883217588716	2	0.320192732353342	0.532356407806348	UBE4B
chr1:clu_13112_+	Success	6.92188589860598	4	0.0078107319290452	0.042795800310786	UBE4B
chr1:clu_13113_+	Success	-0.600612216618174	6	1	1	UBE4B
chr1:clu_13114_+	Success	0.222014419574407	1	0.505184288795299	0.701755758270519	UBE4B
chr1:clu_13115_+	Success	-0.453324440542929	3	1	1	UBE4B
chr1:clu_13116_+	Success	0.337542484202004	1	0.411284353094355	0.621662192573787	UBE4B
chr1:clu_13117_+	Success	0.307126583253762	1	0.433190897214594	0.641497933355011	UBE4B
chr1:clu_13118_+	Success	0.901512262887081	2	0.405955284198912	0.617031136706988	UBE4B
chr1:clu_13119_+	Success	0.647956688014347	1	0.254961043914938	0.463504911209304	KIF1B
chr1:clu_13120_+	Success	1.4586767613319	1	0.0876314799014773	0.235805125851464	KIF1B
chr1:clu_13121_+	Success	2.85352628535702	3	0.126765912962108	0.299098470660709	KIF1B
chr1:clu_13122_+	Success	1.15629010178333	1	0.128330869942415	0.30140214769064	KIF1B
chr1:clu_13123_+	Success	4.3166124471245	1	0.0033008671823842	0.0223554602081142	KIF1B
chr1:clu_13124_+	Success	0.424674725644536	2	0.653982474264613	0.814925733068576	KIF1B
chr1:clu_13125_+	Success	0.189480976467166	2	0.827388456599214	0.929468095850216	KIF1B
chr1:clu_13126_+	Success	9.3041054844507	2	9.10496601419372e-05	0.00122679253536653	PGD
chr1:clu_13127_+	Success	28.1172109801591	9	7.08017098912276e-09	2.79252070812663e-07	CENPS-CORT,CENPS,CORT
chr1:clu_13128_+	Success	15.4690037476712	3	8.75983612011245e-07	2.14384757439967e-05	PEX14
chr1:clu_13129_+	Success	9.26224097884187	8	0.0176203482404044	0.0783025950494325	PEX14
chr1:clu_13130_+	Success	2.03166050367145	4	0.397504106849143	0.609178832041132	PEX14
chr1:clu_13131_+	Success	0.124215187232949	1	0.61818247387687	0.788492016584235	TARDBP,AL109811.3
chr1:clu_13132_+	Success	4.50947347186593	3	0.0290400343585259	0.111539814964717	TARDBP,AL109811.3
chr1:clu_13133_+	Success	2.13448483754473	2	0.118305521243436	0.286359342263623	TARDBP,AL109811.3
chr1:clu_13134_+	Success	12.6021598884072	4	4.57677303378944e-05	0.000685441603172914	TARDBP,AL109811.3
chr1:clu_13135_+	Success	0.000738285372563041	1	0.969347893625097	1	TARDBP,AL109811.3
chr1:clu_13136_+	Not enough valid samples	NA	NA	NA	NA	TARDBP,AL109811.3
chr1:clu_13137_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AL109811.2,AL109811.3
chr1:clu_13138_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EXOSC10-AS1
chr1:clu_13139_+	Success	0.08941538447732	2	0.914465639838795	0.982244388025367	UBIAD1
chr1:clu_13140_+	Success	5.44467274234739	5	0.0536186172220281	0.170114928494447	FBXO44
chr1:clu_13141_+	Success	3.62546198333985	3	0.0643157763037436	0.192700331269	FBXO44
chr1:clu_13142_+	Success	3.56320005018961	4	0.129357433047055	0.302799576353908	FBXO6
chr1:clu_13143_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FBXO44
chr1:clu_13144_+	Success	12.0403417133202	7	0.0011027345109991	0.00957729264277167	AGTRAP
chr1:clu_13145_+	Success	10.7350415977635	3	8.40738522811976e-05	0.00115221521547501	AGTRAP
chr1:clu_13146_+	Not enough valid samples	NA	NA	NA	NA	C1orf167
chr1:clu_13147_+	Success	0.690443230060168	1	0.239950208646569	0.446135867158314	CLCN6
chr1:clu_13148_+	Success	1.66657047007357	3	0.343056614655373	0.555387788894697	CLCN6
chr1:clu_13149_+	Success	0.0610494792445877	1	0.726769056018529	0.864431703226292	CLCN6
chr1:clu_13150_+	Success	0.00454074747113964	1	0.924079022424743	0.987258373089521	CLCN6
chr1:clu_13151_+	Success	3.48460593618415	1	0.00829240117666964	0.0446246696564825	CLCN6
chr1:clu_13152_+	Success	1.44155936399784	3	0.409999228171574	0.620502558411251	CLCN6
chr1:clu_13153_+	Success	10.0199069268574	2	4.45050929575115e-05	0.000668349487526724	CLCN6
chr1:clu_13154_+	Success	4.29586348339058	2	0.0136248018263919	0.0644508334842943	CLCN6
chr1:clu_13155_+	Success	0.00641480957165186	1	0.909818158614202	0.979616016333232	CLCN6
chr1:clu_13156_+	Not enough valid samples	NA	NA	NA	NA	CLCN6
chr1:clu_13157_+	Not enough valid samples	NA	NA	NA	NA	CLCN6
chr1:clu_13158_+	Success	3.36607756818557	2	0.0345247932476982	0.126153137036112	PLOD1
chr1:clu_13159_+	Success	0.367190114498953	1	0.391467059878928	0.603695730611671	PLOD1
chr1:clu_13160_+	Success	0.00220663385562148	1	0.947033552081427	1	PLOD1
chr1:clu_13161_+	Success	8.53425949189113	6	0.00903469829635352	0.0475395450576509	MFN2
chr1:clu_13162_+	Success	2.09923775972402	2	0.122549805057909	0.292925672640028	MFN2
chr1:clu_13163_+	Success	1.06554855289414	1	0.144337415540192	0.325326199397067	MFN2
chr1:clu_13164_+	Success	0.132170210542654	1	0.607153785779791	0.78112167259535	MFN2
chr1:clu_13165_+	Success	3.42850303731029	2	0.0324354591208958	0.120675755503068	MIIP
chr1:clu_13166_+	Success	0.0251907079586999	1	0.822400905891894	0.92624448289514	MIIP
chr1:clu_13167_+	Not enough valid samples	NA	NA	NA	NA	TNFRSF1B
chr1:clu_13168_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VPS13D
chr1:clu_13169_+	Success	0.171977777881381	1	0.55755485042191	0.742814823438939	VPS13D
chr1:clu_13170_+	Success	0.189179626310761	3	0.944675776526519	0.998623353836999	VPS13D
chr1:clu_13171_+	Success	0.611787164459486	2	0.542380678915174	0.730856057885595	VPS13D
chr1:clu_13172_+	Success	1.28850978236323	2	0.275681302271089	0.487140526778551	VPS13D
chr1:clu_13173_+	Success	0.534235968424269	1	0.301290854291291	0.512927274267684	VPS13D
chr1:clu_13174_+	Success	2.04722596023203	4	0.39337406332963	0.605439838508631	VPS13D
chr1:clu_13175_+	Success	7.75255416307857	1	8.22825897288361e-05	0.00113105852928933	VPS13D
chr1:clu_13176_+	Success	1.00740774545537	1	0.155770205299724	0.340668778676485	VPS13D
chr1:clu_13177_+	Success	4.03323031221498	3	0.0446579493864517	0.15033401673589	VPS13D
chr1:clu_13178_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VPS13D
chr1:clu_13179_+	Success	0.474839738153833	3	0.813425415016288	0.920624743378052	VPS13D
chr1:clu_13180_+	Success	0.103426315426304	1	0.649245544040148	0.811334671682578	VPS13D
chr1:clu_13181_+	Success	0.76707782776532	1	0.21548982483722	0.418285634195243	VPS13D
chr1:clu_13182_+	Success	12.4291310749643	1	6.17040135945698e-07	1.58405463641064e-05	VPS13D
chr1:clu_13183_+	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_13184_+	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_13185_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PDPN
chr1:clu_13186_+	Not enough valid samples	NA	NA	NA	NA	PDPN
chr1:clu_13187_+	Not enough valid samples	NA	NA	NA	NA	PRDM2
chr1:clu_13188_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRDM2
chr1:clu_13189_+	Success	13.2224843954828	12	0.00928005851616828	0.0483895504697438	PRDM2
chr1:clu_13190_+	Success	0.459258000252362	1	0.337864923984666	0.550017065677516	PRDM2
chr1:clu_13191_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KAZN
chr1:clu_13192_+	Success	69.8999043517215	20	5.52367607196482e-20	9.44843992053148e-18	NA
chr1:clu_13193_+	Success	38.0381875883595	5	5.54535400528333e-15	5.52583297716504e-13	KAZN
chr1:clu_13194_+	Success	0.101810450614266	2	0.903200736589181	0.975311658945315	KAZN
chr1:clu_13195_+	Not enough valid samples	NA	NA	NA	NA	FHAD1
chr1:clu_13196_+	Success	2.65467849641755	3	0.150496381044234	0.33337395654023	EFHD2
chr1:clu_13197_+	Success	0.408668213145575	2	0.664534679620445	0.822587005031507	DNAJC16
chr1:clu_13198_+	Success	0.273908303699159	1	0.459211202021475	0.664358207302139	DNAJC16
chr1:clu_13199_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DNAJC16
chr1:clu_13200_+	Success	0.250232228118875	1	0.479296115219565	0.680028602241216	DDI2
chr1:clu_13201_+	Success	8.05635341197194	3	0.00107521628075106	0.00939788101994453	DDI2
chr1:clu_13202_+	Success	5.74856521283436	6	0.0741746425699839	0.211463840631558	DDI2
chr1:clu_13203_+	Success	0.799890823845999	1	0.205934157179571	0.406242114443598	PLEKHM2
chr1:clu_13204_+	Success	17.3200069476188	5	1.77519344929222e-06	4.01862086783511e-05	PLEKHM2
chr1:clu_13205_+	Success	2.47764331981614	1	0.0260110124602641	0.103535870528431	PLEKHM2
chr1:clu_13206_+	Success	0.0518731635215772	1	0.747379387757924	0.878621944070445	PLEKHM2
chr1:clu_13207_+	Success	0.810100511473138	1	0.203063760076948	0.402865502299904	PLEKHM2
chr1:clu_13208_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SLC25A34
chr1:clu_13209_+	Success	5.51409091380992	7	0.137394458460631	0.315087219872397	FBLIM1
chr1:clu_13210_+	Success	0.910445599340164	2	0.402344899461429	0.613736166441882	FBLIM1
chr1:clu_13211_+	Success	3.10913897658975	4	0.183429393009153	0.37807564882942	FBLIM1
chr1:clu_13212_+	Success	0.0100715130656681	1	0.887138355162995	0.965956175463755	FBLIM1
chr1:clu_13213_+	Success	2.47104509931978	4	0.293291181672666	0.505414558138324	SPEN
chr1:clu_13214_+	Success	0.718281114649471	2	0.487589646765295	0.687087509004814	SPEN
chr1:clu_13215_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CLCNKA
chr1:clu_13216_+	Success	9.59975038038101	10	0.0378006774389639	0.134347807693349	SZRD1
chr1:clu_13217_+	Success	6.54404682280438	4	0.0108532785854789	0.0543888175017565	NECAP2
chr1:clu_13218_+	Success	0.608488262315404	1	0.269954827398771	0.480686097973975	NECAP2
chr1:clu_13219_+	Success	0.286618943420763	2	0.750797770764754	0.880666237383652	NECAP2
chr1:clu_13220_+	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_13221_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_13222_+	Not enough valid samples	NA	NA	NA	NA	MST1P2
chr1:clu_13223_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MST1P2
chr1:clu_13224_+	Success	6.87191304984572	10	0.185000417245493	0.380382358194485	CROCC
chr1:clu_13225_+	Success	0.404457321179962	2	0.667338863277388	0.824399189729032	CROCC
chr1:clu_13226_+	Not enough valid samples	NA	NA	NA	NA	CROCC
chr1:clu_13227_+	Success	1.37634915568015	3	0.431345924395801	0.64010494472969	CROCC
chr1:clu_13228_+	Not enough valid samples	NA	NA	NA	NA	CROCC
chr1:clu_13229_+	Success	0.742939005354856	2	0.475713733747176	0.676867363612424	CROCC
chr1:clu_13230_+	Success	0.393937749985554	1	0.374743301680793	0.587158538544668	CROCC
chr1:clu_13231_+	Success	0.454532223999649	3	0.823239816344977	0.926793087862133	CROCC
chr1:clu_13232_+	Success	6.36423883821044	8	0.121539602875848	0.291408985622499	ARHGEF10L
chr1:clu_13233_+	Success	0.000417527412480467	1	0.976946486900279	1	ARHGEF10L
chr1:clu_13234_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ARHGEF10L
chr1:clu_13235_+	Success	39.2773149804461	2	8.751426305661e-18	1.19363323928969e-15	ARHGEF10L
chr1:clu_13236_+	Success	1.16774518413237	1	0.126455163781652	0.298849008044603	ARHGEF10L
chr1:clu_13237_+	Success	5.98313521809541	2	0.002520910285965	0.0182023379948448	ARHGEF10L
chr1:clu_13238_+	Success	2.79451493742545	2	0.0611445260617663	0.186216314875532	ARHGEF10L
chr1:clu_13239_+	Success	0.0741748008435366	1	0.700117553442039	0.84722355320813	EMC1-AS1
chr1:clu_13240_+	Success	12.4048406390357	3	1.69218782269811e-05	0.000288068184590976	MRTO4
chr1:clu_13241_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_13242_+	Success	4.33976617690132	6	0.192419185458391	0.389995722041411	SLC66A1
chr1:clu_13243_+	Success	2.88428608192771	1	0.0163152853471475	0.0737948292419693	SLC66A1
chr1:clu_13244_+	Success	3.49654527174812	1	0.00818249491111441	0.0441968025534982	SLC66A1
chr1:clu_13245_+	Success	54.0627141798614	9	3.53880526591781e-19	5.65978820204565e-17	MICOS10,MICOS10-NBL1,NBL1
chr1:clu_13246_+	Success	0.153432460308181	1	0.57961039749559	0.760653964072823	AL391883.1
chr1:clu_13247_+	Not enough valid samples	NA	NA	NA	NA	OTUD3
chr1:clu_13248_+	Success	0.64733070903867	2	0.523441130308126	0.715682593697239	OTUD3
chr1:clu_13249_+	Success	0.975243538945506	1	0.162534373115078	0.350029421183061	OTUD3
chr1:clu_13250_+	Success	4.3551813175095	5	0.121189618624717	0.290875090489145	PLA2G5
chr1:clu_13251_+	Not enough valid samples	NA	NA	NA	NA	PLA2G5
chr1:clu_13252_+	Success	1.62515518086343	2	0.196881120651219	0.39491363410012	CDA
chr1:clu_13253_+	Not enough valid samples	NA	NA	NA	NA	NBPF3
chr1:clu_13254_+	Success	0.184391578108944	1	0.543668300471521	0.732069792767103	NBPF3
chr1:clu_13255_+	Success	6.69520780607672	9	0.145721369396751	0.326917480915547	NBPF3
chr1:clu_13256_+	Success	0.48462245530942	1	0.324868568215376	0.537075013814019	NBPF3
chr1:clu_13257_+	Success	0.0341162283821177	1	0.793927920809537	0.907631054984231	NBPF3
chr1:clu_13258_+	Success	1.84969638759776	2	0.157284912715247	0.342757897907513	NBPF3
chr1:clu_13259_+	Success	7.40819165209905	1	0.000118501541232258	0.00152781491309804	NBPF3
chr1:clu_13260_+	Success	2.43092245144362	2	0.0879556603235547	0.23628434591161	NBPF3
chr1:clu_13261_+	Success	2.20187233618344	3	0.221038420157	0.424799083487261	ALPL
chr1:clu_13262_+	Success	0.389983021625085	2	0.677068369921205	0.830994779704919	ALPL
chr1:clu_13263_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_13264_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_13265_+	Success	2.77316570303628	3	0.13589359894931	0.312839082193144	AL590556.3,LINC00339,CDC42
chr1:clu_13266_+	Success	7.00987513616565	4	0.00723228705962738	0.0405393299988726	CDC42
chr1:clu_13267_+	Success	0.147379522620213	2	0.86296639998945	0.951448449763479	CDC42
chr1:clu_13268_+	Success	0.239289930494579	2	0.787186619878131	0.903630414966456	ZBTB40
chr1:clu_13269_+	Success	0.553536602720669	3	0.77536686392342	0.896207988592846	ZBTB40
chr1:clu_13270_+	Success	3.17584346006817	2	0.0417588672895435	0.143880253748331	ZBTB40
chr1:clu_13271_+	Success	1.92620161261502	1	0.0496747663454085	0.161527574574625	ZBTB40
chr1:clu_13272_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_13273_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C1QB
chr1:clu_13274_+	Not enough valid samples	NA	NA	NA	NA	EPHB2
chr1:clu_13275_+	Not enough valid samples	NA	NA	NA	NA	EPHB2
chr1:clu_13276_+	Not enough valid samples	NA	NA	NA	NA	EPHB2
chr1:clu_13277_+	Success	4.29080961280852	2	0.0136938341046961	0.0647008377410508	KDM1A
chr1:clu_13278_+	Success	1.68346230626412	2	0.18572980805163	0.381342792871653	KDM1A
chr1:clu_13279_+	Success	0.391658509459376	2	0.675934899927174	0.830145119753139	KDM1A
chr1:clu_13280_+	Success	0.761460209844245	1	0.217178081093198	0.420436680985785	KDM1A
chr1:clu_13281_+	Success	0.437160118699467	1	0.34976205432436	0.561965106983151	KDM1A
chr1:clu_13282_+	Not enough valid samples	NA	NA	NA	NA	ZNF436-AS1
