cluster_id	annotation	chr	start	end	strand	deltapsi	p.adjust	transcript_ids	min_intron_number	mode_intron_number	gene	biotype	genes_in_cluster	is_first_intron	condition	conditions	num_introns
clu_12280_-	gencode	chr2	108512012	108533933	-	0.131154946389737	0.00748404315044194	ENST00000440975.1	1	1	GCC2-AS1	lncRNA	GCC2-AS1	TRUE	beige	beige&white	2
clu_1234_-	gencode	chr11	8717892	8726073	-	-0.191109718513345	1.74269632453254e-12	ENST00000528196.5,ENST00000527510.5,ENST00000530438.5,ENST00000526057.5,ENST00000313726.11,ENST00000526757.5,ENST00000532734.5,ENST00000527870.1,ENST00000531093.5,ENST00000530580.5,ENST00000533225.5,ENST00000532651.5,ENST00000534127.5,ENST00000626808.2,ENST00000533425.5,ENST00000528527.5,ENST00000530593.5	1	3	ST5	protein_coding,nonsense_mediated_decay,retained_intron,lncRNA	ST5	TRUE	white	white	1
clu_12375_-	gencode	chr2	127076706	127106860	-	-0.107855569473401	6.56014455003287e-05	ENST00000393041.7,ENST00000316724.10,ENST00000357970.7,ENST00000259238.8,ENST00000393040.7,ENST00000348750.8,ENST00000351659.7,ENST00000409400.1,ENST00000352848.7,ENST00000346226.7,ENST00000376113.6	1	1	BIN1	protein_coding	BIN1	TRUE	white	white	1
clu_12446_-	gencode	chr2	144235737	144332439	-	-0.132117568573848	1.01783512825903e-21	ENST00000429978.5,ENST00000463875.6,ENST00000542155.5	1	1	GTDC1	nonsense_mediated_decay,protein_coding	GTDC1	TRUE	white	white	1
clu_1253_-	gencode	chr11	9817024	9829356	-	0.173817490212833	0.0164812997458403	ENST00000256190.12,ENST00000533584.1	1	1	SBF2	protein_coding,retained_intron	SBF2	TRUE	beige	beige&white	2
clu_1253_-	gencode	chr11	9828221	9829356	-	-0.16595702088702	0.0164812997458403	ENST00000530741.1	3	3	SBF2	protein_coding	SBF2	FALSE	white	beige&white	2
clu_12539_-	gencode	chr2	164722522	164727969	-	-0.112015691549389	1.90565684518036e-06	ENST00000652658.2,ENST00000409184.7,ENST00000452626.5,ENST00000375458.6,ENST00000342193.8,ENST00000392717.6	4	4	COBLL1	protein_coding	COBLL1	FALSE	white	white	1
clu_12584_-	gencode	chr2	172504142	172512334	-	0.166572669350526	3.66394780402901e-08	ENST00000450443.1	2	2	AC078883.1	lncRNA	AC078883.1	FALSE	beige	beige&white	2
clu_12584_-	gencode	chr2	172495516	172512334	-	-0.12686695171994	3.66394780402901e-08	ENST00000442417.5	2	2	AC078883.1	lncRNA	AC078883.1	FALSE	white	beige&white	2
clu_1262_-	gencode	chr11	10193987	10294015	-	0.1716116828945	1.93792085271154e-07	ENST00000256190.12	1	1	SBF2	protein_coding	SBF2,AC080023.1	TRUE	beige	beige	1
clu_12779_-	gencode	chr2	210189054	210192804	-	0.180158073422248	5.43558310822928e-10	ENST00000652584.1,ENST00000233710.4	10	10	ACADL	lncRNA,protein_coding	KANSL1L,ACADL	FALSE	beige	beige	1
clu_13024_+	gencode	chr1	1489274	1490257	+	0.113351856486899	0.000631013730109226	ENST00000673477.1,ENST00000308647.8,ENST00000472194.6	11	11	ATAD3B	protein_coding,retained_intron	ATAD3B	FALSE	beige	beige	1
clu_13073_+	gencode	chr1	6614105	6616757	+	-0.113159386278092	0.0102616813405645	ENST00000377648.5	1	1	PHF13	protein_coding	PHF13	TRUE	white	beige&white	2
clu_13073_+	fantom_cat	chr1	6615591	6616757	+	0.101774763542125	0.0102616813405645	ENCT00000000790.1	1	1	ENSG00000116273.5	NA	PHF13	TRUE	beige	beige&white	2
clu_13134_+	gencode	chr1	11022250	11023263	+	-0.100804230189256	0.000677741896046332	ENST00000610369.4,ENST00000616545.4	3	3	TARDBP	protein_coding	TARDBP,AL109811.3	FALSE	white	white	1
clu_13193_+	gencode	chr1	14946173	14960684	+	-0.198612550707795	5.38736442618757e-13	ENST00000400797.3	1	1	KAZN	protein_coding	KAZN	TRUE	white	beige&white	3
clu_13193_+	gencode	chr1	14924572	14960684	+	0.104073832591476	5.38736442618757e-13	ENST00000361144.9	1	1	KAZN	protein_coding	KAZN	TRUE	beige	beige&white	3
clu_13193_+	cryptic	chr1	14856060	14877904	+	0.18050266601953	5.38736442618757e-13	Unknown	NA	NA	NA	Unknown	NA	NA	beige	beige&white	3
clu_13235_+	gencode	chr1	17632466	17634835	+	0.167492644656055	1.08533750246833e-15	ENST00000375408.7,ENST00000167825.5,ENST00000469726.5	3	8	ARHGEF10L	protein_coding,nonsense_mediated_decay,lncRNA	ARHGEF10L	FALSE	beige	beige	1
clu_13371_+	gencode	chr1	27963693	27966503	+	0.107503299841311	0.0407971074332658	ENST00000373884.5	2	2	XKR8	protein_coding	XKR8	FALSE	beige	beige	1
clu_13672_+	gencode	chr1	45997799	46002805	+	0.243930954074054	1.19140074194128e-15	ENST00000372008.6,ENST00000482881.1,ENST00000361297.7	2	2	MAST2	protein_coding,retained_intron	MAST2	FALSE	beige	beige&white	2
clu_13672_+	refseq	chr1	45997799	46000959	+	-0.169102926564829	1.19140074194128e-15	rna-XM_011541064.3,rna-XM_047450121.1,rna-XM_047450149.1,rna-XM_017000752.2,rna-XM_005270656.6,rna-XM_047450111.1,rna-XM_005270655.4,rna-XM_006710477.4,rna-XM_017000753.2,rna-NM_001324321.2,rna-XM_011541069.3,rna-XM_011541063.2,rna-XM_017000755.2,rna-XM_047450116.1,rna-XM_047450141.1,rna-XM_011541061.3,rna-XM_011541059.3,rna-NM_001324320.2,rna-XM_011541067.3,rna-XM_047450145.1	3	6	MAST2	NA	MAST2	FALSE	white	beige&white	2
clu_13883_+	gencode	chr1	87103589	87104470	+	-0.143252737924031	1.00978743659986e-39	ENST00000370550.10	6	6	HS2ST1	protein_coding	HS2ST1,AC093155.3,LINC01140	FALSE	white	beige&white	2
clu_13883_+	gencode	chr1	87129994	87133614	+	0.15845772206014	1.00978743659986e-39	ENST00000469312.6,ENST00000471417.5,ENST00000490006.6,ENST00000461990.1	1	1	LINC01140	lncRNA	HS2ST1,AC093155.3,LINC01140	TRUE	beige	beige&white	2
clu_13899_+	gencode	chr1	89633322	89686470	+	-0.134308503992654	1.06797908105918e-22	ENST00000370453.5,ENST00000479252.1,ENST00000482063.1,ENST00000370454.9	1	1	AC093423.3,LRRC8C	nonsense_mediated_decay,lncRNA,protein_coding	LRRC8B,LRRC8C,AC093423.3	TRUE	white	beige&white	2
clu_13899_+	gencode	chr1	89584789	89592771	+	0.118262121878072	1.06797908105918e-22	ENST00000439853.5,ENST00000640258.1,ENST00000330947.6,ENST00000639264.1	4	4	LRRC8B	protein_coding	LRRC8B,LRRC8C,AC093423.3	FALSE	beige	beige&white	2
clu_13940_+	gencode	chr1	95625565	95777147	+	-0.107053856248176	5.79291663111555e-19	ENST00000664663.1	1	1	LINC02607	lncRNA	LINC02607,AL683887.1	TRUE	white	white	1
clu_14136_+	gencode	chr1	120197317	120251414	+	-0.178061794519575	0.00422479894618861	ENST00000612320.1	1	1	AC244669.2	unprocessed_pseudogene	AC244669.2	TRUE	white	beige&white	2
clu_14136_+	cryptic	chr1	120233347	120251414	+	0.161958327619198	0.00422479894618861	Unknown	NA	NA	NA	Unknown	NA	NA	beige	beige&white	2
clu_14173_+	cryptic	chr1	144721138	144757916	+	-0.118548391281924	0.0182632210198851	Unknown	NA	NA	NA	Unknown	NA	NA	white	beige&white	2
clu_14173_+	cryptic	chr1	144720690	144757916	+	0.106480663542981	0.0182632210198851	Unknown	NA	NA	NA	Unknown	NA	NA	beige	beige&white	2
clu_14195_+	gencode	chr1	146960006	146960109	+	0.10743156283012	1.04329618762186e-10	ENST00000617931.4,ENST00000617844.4,ENST00000611443.4,ENST00000617614.4,ENST00000439206.6	1	1	NBPF12	protein_coding	NBPF12	TRUE	beige	beige&white	2
clu_14195_+	gencode	chr1	146960011	146960109	+	-0.164106442107896	1.04329618762186e-10	ENST00000579935.8	1	1	NBPF12	protein_coding	NBPF12	TRUE	white	beige&white	2
clu_14246_+	gencode	chr1	149833114	149834135	+	0.147732255218316	1.71960914372414e-07	ENST00000614272.1	1	1	HIST2H4A	nonsense_mediated_decay	HIST2H4A	TRUE	beige	beige	1
clu_1427_-	gencode	chr11	57310556	57312534	-	-0.209243242858726	6.77635155800984e-33	ENST00000528882.5,ENST00000358252.8,ENST00000532437.1	4	5	TNKS1BP1	nonsense_mediated_decay,protein_coding	TNKS1BP1	FALSE	white	beige&white	2
clu_1427_-	gencode	chr11	57310556	57311238	-	0.220872740842362	6.77635155800984e-33	ENST00000530920.1	1	1	TNKS1BP1	protein_coding	TNKS1BP1	TRUE	beige	beige&white	2
clu_14479_+	fantom_cat	chr1	160128541	160128652	+	0.158529234111957	3.75252569808702e-06	ENCT00000013045.1	1	1	ENSG00000018625.10	NA	ATP1A2	TRUE	beige	beige&white	2
clu_14479_+	gencode	chr1	160127820	160128652	+	-0.167982891272022	3.75252569808702e-06	ENST00000447527.1,ENST00000392233.7,ENST00000472488.5,ENST00000361216.8	1	8	ATP1A2	protein_coding,retained_intron	ATP1A2	TRUE	white	beige&white	2
clu_1449_-	gencode	chr11	58570713	58575760	-	-0.20889674488391	1.86017733133844e-09	ENST00000395074.6,ENST00000530561.5,ENST00000529915.1	1	1	LPXN	protein_coding,nonsense_mediated_decay,retained_intron	LPXN	TRUE	white	white	1
clu_14507_+	gencode	chr1	161197487	161202147	+	-0.135686077623461	5.54587598865526e-08	ENST00000496133.5	1	1	NDUFS2	lncRNA	NDUFS2	TRUE	white	beige&white	2
clu_14507_+	gencode	chr1	161197156	161202147	+	0.135686077623461	5.54587598865526e-08	ENST00000479948.5	1	1	NDUFS2	lncRNA	NDUFS2	TRUE	beige	beige&white	2
clu_14511_+	gencode	chr1	161226136	161226355	+	-0.148361659610275	0.0403204339629805	ENST00000367988.8,ENST00000474486.5,ENST00000465512.5,ENST00000492482.5,ENST00000545897.5	1	1	TOMM40L	protein_coding,lncRNA	TOMM40L	TRUE	white	white	1
clu_14521_+	gencode	chr1	161750145	161751655	+	-0.100539324820308	6.46878291488658e-27	ENST00000464004.2,ENST00000484291.5	1	1	DUSP12	nonsense_mediated_decay	FCRLB,DUSP12	TRUE	white	beige&white	3
clu_14521_+	gencode	chr1	161750145	161751668	+	-0.111456739863966	6.46878291488658e-27	ENST00000367943.5	1	1	DUSP12	protein_coding	FCRLB,DUSP12	TRUE	white	beige&white	3
clu_14521_+	gencode	chr1	161726993	161727247	+	0.113458507721135	6.46878291488658e-27	ENST00000367946.7,ENST00000367945.5,ENST00000495397.1,ENST00000336830.9,ENST00000367944.3,ENST00000367948.6	1	4	FCRLB	protein_coding,lncRNA	FCRLB,DUSP12	TRUE	beige	beige&white	3
clu_14581_+	gencode	chr1	171258219	171267543	+	-0.172735706426224	1.08639598390053e-16	ENST00000354841.4,ENST00000367750.7,ENST00000459868.1,ENST00000617670.6,ENST00000469112.5	1	2	FMO1	protein_coding,lncRNA,nonsense_mediated_decay	FMO1	TRUE	white	beige&white	2
clu_14581_+	refseq	chr1	171269086	171275346	+	0.25350673623015	1.08639598390053e-16	rna-XM_005245037.4	1	1	FMO1	NA	FMO1	TRUE	beige	beige&white	2
clu_14686_+	gencode	chr1	183234446	183235575	+	-0.110006790406687	0.0127293498972187	ENST00000264144.5,ENST00000493293.5	15	15	LAMC2	protein_coding	LAMC2	FALSE	white	white	1
clu_14736_+	gencode	chr1	196743628	196745817	+	0.134468155137077	2.86072217636654e-09	ENST00000367429.8,ENST00000466229.5	14	14	CFH	protein_coding,retained_intron	CFH,CFHR1	FALSE	beige	beige&white	2
clu_14736_+	gencode	chr1	196828246	196830500	+	-0.134335513801289	2.86072217636654e-09	ENST00000320493.9	4	4	CFHR1	protein_coding	CFH,CFHR1	FALSE	white	beige&white	2
clu_1475_-	gencode	chr11	61333008	61335311	-	-0.103840494295744	0.0410602993976874	ENST00000540166.5	2	2	DDB1	nonsense_mediated_decay	DDB1	FALSE	white	beige&white	2
clu_1475_-	gencode	chr11	61333008	61333145	-	0.103840494295745	0.0410602993976874	ENST00000542337.5	1	1	DDB1	protein_coding	DDB1	TRUE	beige	beige&white	2
clu_14762_+	gencode	chr1	201718755	201780421	+	-0.317047490592873	2.24441325823093e-43	ENST00000367302.5,ENST00000367296.8	3	3	NAV1	protein_coding	NAV1	FALSE	white	beige&white	2
clu_14762_+	gencode	chr1	201739844	201780421	+	0.396358527399776	2.24441325823093e-43	ENST00000490213.5	1	1	NAV1	lncRNA	NAV1	TRUE	beige	beige&white	2
clu_14776_+	gencode	chr1	201888781	201889445	+	0.127478542121641	0.000329740384444653	ENST00000464117.1	1	1	SHISA4	lncRNA	SHISA4	TRUE	beige	beige&white	2
clu_14776_+	gencode	chr1	201889067	201889445	+	-0.129422331837047	0.000329740384444653	ENST00000362011.6	1	1	SHISA4	protein_coding	SHISA4	TRUE	white	beige&white	2
clu_15045_+	gencode	chr1	240211235	240257945	+	0.12310539581553	0.00748904634801792	ENST00000319653.14	6	6	FMN2	protein_coding	FMN2	FALSE	beige	beige	1
clu_15046_+	fantom_cat	chr1	240285507	240294822	+	-0.118886030481361	6.71752162412126e-10	FTMT20300112023.1,FTMT20300031193.1	1	1	ENSG00000155816.15	NA	FMN2	TRUE	white	beige&white	2
clu_15046_+	gencode	chr1	240258032	240294822	+	0.15457703961046	6.71752162412126e-10	ENST00000319653.14,ENST00000463398.5,ENST00000441342.1	2	2	FMN2	protein_coding,lncRNA	FMN2	FALSE	beige	beige&white	2
clu_15050_+	cryptic	chr1	240404659	240438061	+	0.127472389777266	1.02597916617075e-10	Unknown	NA	NA	NA	Unknown	NA	NA	beige	beige&white	2
clu_15050_+	gencode	chr1	240392562	240438061	+	-0.127472389777266	1.02597916617075e-10	ENST00000319653.14,ENST00000545751.2	8	8	FMN2	protein_coding	FMN2	FALSE	white	beige&white	2
clu_1506_-	cryptic	chr11	62522998	62525345	-	-0.10766957161075	2.11787511385948e-12	Unknown	NA	NA	NA	Unknown	NA	NA	white	white	1
clu_15074_+	gencode	chr1	245155487	245156282	+	-0.171597277898036	2.69195409344232e-15	ENST00000407071.7	1	1	KIF26B	protein_coding	KIF26B	TRUE	white	beige&white	2
clu_15074_+	fantom_cat	chr1	245155487	245155750	+	0.232562279454691	2.69195409344232e-15	FTMT20300112127.1,HBMT00000048742.1	1	1	ENSG00000162849.11	NA	KIF26B	TRUE	beige	beige&white	2
clu_15093_+	gencode	chr1	248913879	248916602	+	-0.115257823019489	4.97902201227652e-06	ENST00000329291.6	2	2	PGBD2	protein_coding	PGBD2	FALSE	white	white	1
clu_15115_+	gencode	chrX	2828975	2830061	+	-0.113110281876415	1.68478437089882e-17	ENST00000381163.7,ENST00000398806.8,ENST00000381161.5	1	1	GYG2	protein_coding,lncRNA	GYG2	TRUE	white	white	1
clu_15133_+	gencode	chrX	9463462	9501780	+	-0.131453958115805	0.0214953516087755	ENST00000424279.5,ENST00000441088.5,ENST00000380961.5,ENST00000407597.6,ENST00000415293.5	1	1	TBL1X	protein_coding	TBL1X	TRUE	white	beige&white	2
clu_15133_+	gencode	chrX	9465447	9501780	+	0.126090396618954	0.0214953516087755	ENST00000422314.5,ENST00000645353.2	1	1	TBL1X	protein_coding	TBL1X	TRUE	beige	beige&white	2
clu_15162_+	gencode	chrX	15675778	15688661	+	-0.14687993701372	5.67501399602876e-100	ENST00000380333.5,ENST00000448692.5	1	1	CA5BP1	lncRNA	CA5BP1,CA5B	TRUE	white	beige&white	2
clu_15162_+	gencode	chrX	15738352	15749971	+	0.127193472494054	5.67501399602876e-100	ENST00000478923.1,ENST00000318636.8	1	1	CA5B	retained_intron,protein_coding	CA5BP1,CA5B	TRUE	beige	beige&white	2
clu_15204_+	gencode	chrX	30696683	30700414	+	-0.117697570535066	2.70105972770367e-08	ENST00000378945.7,ENST00000488296.1,ENST00000378943.7	5	8	GK	protein_coding,nonsense_mediated_decay	GK	FALSE	white	white	1
clu_1527_-	gencode	chr11	62600689	62601423	-	0.101100426307228	0.0103742111758507	ENST00000526844.1,ENST00000278823.7	1	1	MTA2	retained_intron,protein_coding	MTA2	TRUE	beige	beige&white	2
clu_1527_-	gencode	chr11	62600689	62601023	-	-0.101100426307228	0.0103742111758507	ENST00000527204.5	1	1	MTA2	protein_coding	MTA2	TRUE	white	beige&white	2
clu_15312_+	gencode	chrX	49282063	49285834	+	0.183466745569525	1.79097648056637e-05	ENST00000652102.1,ENST00000376188.1,ENST00000055335.11,ENST00000466508.5,ENST00000495799.5	2	3	PPP1R3F	nonsense_mediated_decay,protein_coding	PPP1R3F	FALSE	beige	beige&white	2
clu_15312_+	refseq	chrX	49282063	49299276	+	-0.112419914919347	1.79097648056637e-05	rna-XM_047442614.1,rna-XM_017029934.2	3	3	PPP1R3F	NA	PPP1R3F	FALSE	white	beige&white	2
clu_15322_+	gencode	chrX	52897409	52899468	+	0.115945930221862	0.0054073880503041	ENST00000612188.4	1	1	FAM156B	protein_coding	FAM156B	TRUE	beige	beige	1
clu_15429_+	gencode	chrX	100585362	100593895	+	-0.30010322271046	9.63248475660392e-10	ENST00000373031.5	2	2	TNMD	protein_coding	TNMD	FALSE	white	beige&white	2
clu_15429_+	fantom_cat	chrX	100593402	100593895	+	0.272251779706346	9.63248475660392e-10	HBMT00001537219.1	1	1	ENSG00000000005.5	NA	TNMD	TRUE	beige	beige&white	2
clu_1547_-	gencode	chr11	62664973	62667523	-	0.171093445126101	7.42479360733322e-33	ENST00000354588.7,ENST00000431002.6,ENST00000532208.5,ENST00000415855.6	2	4	LBHD1	protein_coding	AP001458.2,C11orf98,LBHD1	FALSE	beige	beige&white	2
clu_1547_-	gencode	chr11	62664973	62665131	-	-0.234022593651172	7.42479360733322e-33	ENST00000528405.1,ENST00000524958.5,ENST00000525675.1	1	1	AP001458.2,C11orf98	protein_coding	AP001458.2,C11orf98,LBHD1	TRUE	white	beige&white	2
clu_15502_+	gencode	chrX	109537270	109538045	+	-0.134802245979536	3.82188191678861e-06	ENST00000372103.1	1	1	NXT2	protein_coding	NXT2	TRUE	white	beige&white	2
clu_15502_+	gencode	chrX	109537021	109538045	+	0.130773471334451	3.82188191678861e-06	ENST00000372106.5,ENST00000218004.5,ENST00000372107.5	1	2	NXT2	protein_coding	NXT2	TRUE	beige	beige&white	2
clu_15504_+	fantom_cat	chrX	110087950	110109080	+	-0.16467865873294	8.95738673601732e-05	FTMT29100006756.1,ENCT00000470698.1	1	1	ENSG00000157600.7	NA	TMEM164	TRUE	white	beige&white	2
clu_15504_+	gencode	chrX	110067396	110109080	+	0.16467865873294	8.95738673601732e-05	ENST00000372072.7,ENST00000461715.1,ENST00000372073.5,ENST00000372068.7	2	2	TMEM164	protein_coding,lncRNA	TMEM164	FALSE	beige	beige&white	2
clu_15517_+	gencode	chrX	118410959	118432781	+	-0.104869012997572	1.12353939110049e-11	ENST00000254029.8,ENST00000371825.7,ENST00000371848.3,ENST00000371822.9	9	12	WDR44	protein_coding	WDR44	FALSE	white	beige&white	2
clu_15517_+	cryptic	chrX	118419411	118432781	+	0.104869012997572	1.12353939110049e-11	Unknown	NA	NA	NA	Unknown	NA	NA	beige	beige&white	2
